iter	RMSE
0	14.36956952
1	13.42840592
2	12.57169327
3	11.84801601
4	11.13028265
5	10.58680103
6	10.02694067
7	9.513003197
8	9.139590205
9	8.714302827
10	8.320685959
11	8.005977531
12	7.734448599
13	7.51193016
14	7.269408125
15	7.040991766
16	6.854778851
17	6.668944313
18	6.517009661
19	6.378369687
20	6.266721305
21	6.147937943
22	6.04518106
23	5.962154539
24	5.87874063
25	5.824344754
26	5.74880287
27	5.693054004
28	5.644632988
29	5.597439276
30	5.555134183
31	5.517550787
32	5.480663768
33	5.446479091
34	5.408368006
35	5.372972537
36	5.350627393
37	5.33029458
38	5.307351698
39	5.287607821
40	5.263505385
41	5.249836365
42	5.233483636
43	5.220793675
44	5.209236205
45	5.1949023
46	5.170672975
47	5.156533964
48	5.137319736
49	5.119990043
50	5.113151862
51	5.099874059
52	5.084232596
53	5.070299187
54	5.057862983
55	5.042673543
56	5.032351198
57	5.024522824
58	5.009777297
59	5.00250703
60	4.991960685
61	4.983628164
62	4.970037311
63	4.961534555
64	4.955949605
65	4.946851213
66	4.935935135
67	4.930733652
68	4.923462578
69	4.913255383
70	4.902777782
71	4.89581849
72	4.885004316
73	4.877009886
74	4.869140969
75	4.860198978
76	4.849060213
77	4.842399527
78	4.83451835
79	4.825889351
80	4.809752345
81	4.801298783
82	4.790962616
83	4.782678842
84	4.777275551
85	4.765514662
86	4.75678789
87	4.750132857
88	4.734612568
89	4.722730412
90	4.709110701
91	4.707278867
92	4.694444225
93	4.691010886
94	4.67702837
95	4.663298093
96	4.658789536
97	4.642737576
98	4.63145553
99	4.623238456
