iter	Passed	Remaining
0	1	182
1	3	163
2	4	155
3	6	145
4	7	145
5	9	142
6	10	139
7	12	140
8	13	138
9	15	136
10	16	134
11	18	134
12	19	132
13	21	131
14	22	130
15	24	130
16	27	133
17	28	131
18	30	130
19	32	128
20	33	125
21	34	123
22	36	121
23	37	120
24	39	119
25	41	117
26	42	115
27	44	114
28	45	112
29	47	110
30	48	108
31	50	106
32	51	105
33	53	103
34	54	101
35	56	100
36	57	98
37	59	96
38	61	95
39	62	93
40	64	92
41	64	89
42	66	87
43	67	86
44	69	85
45	70	83
46	72	81
47	74	80
48	75	78
49	76	76
50	78	75
51	79	73
52	81	72
53	83	70
54	84	69
55	86	67
56	88	66
57	90	65
58	91	63
59	93	62
60	95	60
61	97	59
62	98	58
63	100	56
64	102	55
65	103	53
66	105	51
67	106	50
68	108	48
69	109	47
70	111	45
71	112	43
72	114	42
73	116	40
74	117	39
75	118	37
76	120	36
77	122	34
78	123	32
79	125	31
80	127	29
81	130	28
82	133	27
83	136	25
84	139	24
85	143	23
86	145	21
87	147	20
88	150	18
89	152	16
90	154	15
91	157	13
92	160	12
93	162	10
94	165	8
95	167	6
96	169	5
97	171	3
98	174	1
99	176	0
